Date,Start,Visitor/Neutral,Home/Neutral
Wed Dec 1 2021,7:00p,Atlanta Hawks,Indiana Pacers
Wed Dec 1 2021,7:00p,Denver Nuggets,Orlando Magic
Wed Dec 1 2021,7:00p,Minnesota Timberwolves,Washington Wizards
Wed Dec 1 2021,7:30p,Philadelphia 76ers,Boston Celtics
Wed Dec 1 2021,7:30p,Cleveland Cavaliers,Miami Heat
Wed Dec 1 2021,8:00p,Charlotte Hornets,Milwaukee Bucks
Wed Dec 1 2021,8:00p,Dallas Mavericks,New Orleans Pelicans
Wed Dec 1 2021,8:00p,Houston Rockets,Oklahoma City Thunder
Wed Dec 1 2021,10:30p,Sacramento Kings,Los Angeles Clippers
Thu Dec 2 2021,7:30p,Chicago Bulls,New York Knicks
Thu Dec 2 2021,7:30p,Milwaukee Bucks,Toronto Raptors
Thu Dec 2 2021,8:00p,Oklahoma City Thunder,Memphis Grizzlies
Thu Dec 2 2021,9:00p,Detroit Pistons,Phoenix Suns
Thu Dec 2 2021,10:00p,San Antonio Spurs,Portland Trail Blazers
Fri Dec 3 2021,7:00p,Miami Heat,Indiana Pacers
Fri Dec 3 2021,7:00p,Cleveland Cavaliers,Washington Wizards
Fri Dec 3 2021,7:30p,Philadelphia 76ers,Atlanta Hawks
Fri Dec 3 2021,7:30p,Minnesota Timberwolves,Brooklyn Nets
Fri Dec 3 2021,8:00p,Orlando Magic,Houston Rockets
Fri Dec 3 2021,8:30p,New Orleans Pelicans,Dallas Mavericks
Fri Dec 3 2021,9:00p,Boston Celtics,Utah Jazz
Fri Dec 3 2021,10:00p,Phoenix Suns,Golden State Warriors
Fri Dec 3 2021,10:00p,Los Angeles Clippers,Los Angeles Lakers
Sat Dec 4 2021,1:00p,Denver Nuggets,New York Knicks
Sat Dec 4 2021,7:30p,Chicago Bulls,Brooklyn Nets
Sat Dec 4 2021,8:00p,Miami Heat,Milwaukee Bucks
Sat Dec 4 2021,8:30p,Memphis Grizzlies,Dallas Mavericks
Sat Dec 4 2021,8:30p,San Antonio Spurs,Golden State Warriors
Sat Dec 4 2021,10:00p,Boston Celtics,Portland Trail Blazers
Sat Dec 4 2021,10:00p,Los Angeles Clippers,Sacramento Kings
Sun Dec 5 2021,3:30p,Utah Jazz,Cleveland Cavaliers
Sun Dec 5 2021,6:00p,Charlotte Hornets,Atlanta Hawks
Sun Dec 5 2021,6:00p,Washington Wizards,Toronto Raptors
Sun Dec 5 2021,7:00p,New Orleans Pelicans,Houston Rockets
Mon Dec 6 2021,7:00p,Philadelphia 76ers,Charlotte Hornets
Mon Dec 6 2021,7:00p,Oklahoma City Thunder,Detroit Pistons
Mon Dec 6 2021,7:00p,Washington Wizards,Indiana Pacers
Mon Dec 6 2021,7:30p,Memphis Grizzlies,Miami Heat
Mon Dec 6 2021,8:00p,Denver Nuggets,Chicago Bulls
Mon Dec 6 2021,8:00p,Cleveland Cavaliers,Milwaukee Bucks
Mon Dec 6 2021,8:00p,Atlanta Hawks,Minnesota Timberwolves
Mon Dec 6 2021,9:00p,San Antonio Spurs,Phoenix Suns
Mon Dec 6 2021,10:00p,Orlando Magic,Golden State Warriors
Mon Dec 6 2021,10:00p,Los Angeles Clippers,Portland Trail Blazers
Tue Dec 7 2021,7:30p,Brooklyn Nets,Dallas Mavericks
Tue Dec 7 2021,8:30p,New York Knicks,San Antonio Spurs
Tue Dec 7 2021,10:00p,Boston Celtics,Los Angeles Lakers
Wed Dec 8 2021,7:00p,Philadelphia 76ers,Charlotte Hornets
Wed Dec 8 2021,7:00p,Chicago Bulls,Cleveland Cavaliers
Wed Dec 8 2021,7:00p,Washington Wizards,Detroit Pistons
Wed Dec 8 2021,7:00p,New York Knicks,Indiana Pacers
Wed Dec 8 2021,7:30p,Milwaukee Bucks,Miami Heat
Wed Dec 8 2021,7:30p,Oklahoma City Thunder,Toronto Raptors
Wed Dec 8 2021,8:00p,Brooklyn Nets,Houston Rockets
Wed Dec 8 2021,8:00p,Dallas Mavericks,Memphis Grizzlies
Wed Dec 8 2021,8:00p,Utah Jazz,Minnesota Timberwolves
Wed Dec 8 2021,8:00p,Denver Nuggets,New Orleans Pelicans
Wed Dec 8 2021,10:00p,Portland Trail Blazers,Golden State Warriors
Wed Dec 8 2021,10:00p,Orlando Magic,Sacramento Kings
Wed Dec 8 2021,10:30p,Boston Celtics,Los Angeles Clippers
Thu Dec 9 2021,7:00p,Utah Jazz,Philadelphia 76ers
Thu Dec 9 2021,8:00p,Los Angeles Lakers,Memphis Grizzlies
Thu Dec 9 2021,8:30p,Denver Nuggets,San Antonio Spurs
Fri Dec 10 2021,7:00p,Sacramento Kings,Charlotte Hornets
Fri Dec 10 2021,7:00p,Dallas Mavericks,Indiana Pacers
Fri Dec 10 2021,7:30p,Brooklyn Nets,Atlanta Hawks
Fri Dec 10 2021,7:30p,New York Knicks,Toronto Raptors
Fri Dec 10 2021,8:00p,Milwaukee Bucks,Houston Rockets
Fri Dec 10 2021,8:00p,Cleveland Cavaliers,Minnesota Timberwolves
Fri Dec 10 2021,8:00p,Detroit Pistons,New Orleans Pelicans
Fri Dec 10 2021,8:00p,Los Angeles Lakers,Oklahoma City Thunder
Fri Dec 10 2021,10:00p,Boston Celtics,Phoenix Suns
Sat Dec 11 2021,3:30p,Orlando Magic,Los Angeles Clippers
Sat Dec 11 2021,7:00p,Utah Jazz,Washington Wizards
Sat Dec 11 2021,8:00p,Sacramento Kings,Cleveland Cavaliers
Sat Dec 11 2021,8:00p,Houston Rockets,Memphis Grizzlies
Sat Dec 11 2021,8:00p,Chicago Bulls,Miami Heat
Sat Dec 11 2021,8:30p,Golden State Warriors,Philadelphia 76ers
Sat Dec 11 2021,8:30p,Denver Nuggets,San Antonio Spurs
Sun Dec 12 2021,12:00p,Milwaukee Bucks,New York Knicks
Sun Dec 12 2021,6:00p,Brooklyn Nets,Detroit Pistons
Sun Dec 12 2021,7:00p,Dallas Mavericks,Oklahoma City Thunder
Sun Dec 12 2021,7:00p,New Orleans Pelicans,San Antonio Spurs
Sun Dec 12 2021,9:00p,Minnesota Timberwolves,Portland Trail Blazers
Sun Dec 12 2021,9:30p,Orlando Magic,Los Angeles Lakers
Mon Dec 13 2021,7:00p,Miami Heat,Cleveland Cavaliers
Mon Dec 13 2021,7:00p,Golden State Warriors,Indiana Pacers
Mon Dec 13 2021,7:00p,Sacramento Kings,Toronto Raptors
Mon Dec 13 2021,7:30p,Houston Rockets,Atlanta Hawks
Mon Dec 13 2021,7:30p,Milwaukee Bucks,Boston Celtics
Mon Dec 13 2021,8:00p,Philadelphia 76ers,Memphis Grizzlies
Mon Dec 13 2021,8:30p,Charlotte Hornets,Dallas Mavericks
Mon Dec 13 2021,9:00p,Washington Wizards,Denver Nuggets
Mon Dec 13 2021,10:30p,Phoenix Suns,Los Angeles Clippers
Tue Dec 14 2021,7:30p,Toronto Raptors,Brooklyn Nets
Tue Dec 14 2021,7:30p,Golden State Warriors,New York Knicks
Tue Dec 14 2021,8:00p,Detroit Pistons,Chicago Bulls
Tue Dec 14 2021,10:00p,Phoenix Suns,Portland Trail Blazers
Wed Dec 15 2021,7:00p,Houston Rockets,Cleveland Cavaliers
Wed Dec 15 2021,7:00p,Atlanta Hawks,Orlando Magic
Wed Dec 15 2021,7:00p,Miami Heat,Philadelphia 76ers
Wed Dec 15 2021,7:30p,Los Angeles Lakers,Dallas Mavericks
Wed Dec 15 2021,8:00p,Indiana Pacers,Milwaukee Bucks
Wed Dec 15 2021,8:00p,New Orleans Pelicans,Oklahoma City Thunder
Wed Dec 15 2021,8:30p,Charlotte Hornets,San Antonio Spurs
Wed Dec 15 2021,9:00p,Minnesota Timberwolves,Denver Nuggets
Wed Dec 15 2021,10:00p,Memphis Grizzlies,Portland Trail Blazers
Wed Dec 15 2021,10:00p,Washington Wizards,Sacramento Kings
Wed Dec 15 2021,10:00p,Los Angeles Clippers,Utah Jazz
Thu Dec 16 2021,7:00p,Detroit Pistons,Indiana Pacers
Thu Dec 16 2021,7:30p,Philadelphia 76ers,Brooklyn Nets
Thu Dec 16 2021,7:30p,Chicago Bulls,Toronto Raptors
Thu Dec 16 2021,8:00p,New York Knicks,Houston Rockets
Thu Dec 16 2021,9:00p,Washington Wizards,Phoenix Suns
Fri Dec 17 2021,7:00p,Miami Heat,Orlando Magic
Fri Dec 17 2021,7:30p,Denver Nuggets,Atlanta Hawks
Fri Dec 17 2021,7:30p,Golden State Warriors,Boston Celtics
Fri Dec 17 2021,8:00p,Los Angeles Lakers,Minnesota Timberwolves
Fri Dec 17 2021,9:00p,San Antonio Spurs,Utah Jazz
Fri Dec 17 2021,10:00p,Milwaukee Bucks,New Orleans Pelicans
Fri Dec 17 2021,10:00p,Charlotte Hornets,Portland Trail Blazers
Fri Dec 17 2021,10:00p,Memphis Grizzlies,Sacramento Kings
Sat Dec 18 2021,12:00p,Houston Rockets,Detroit Pistons
Sat Dec 18 2021,7:30p,Orlando Magic,Brooklyn Nets
Sat Dec 18 2021,7:30p,Golden State Warriors,Toronto Raptors
Sat Dec 18 2021,8:00p,Los Angeles Clippers,Oklahoma City Thunder
Sat Dec 18 2021,8:30p,New York Knicks,Boston Celtics
Sat Dec 18 2021,9:00p,Cleveland Cavaliers,Milwaukee Bucks
Sat Dec 18 2021,9:00p,Washington Wizards,Utah Jazz
Sun Dec 19 2021,3:30p,Los Angeles Lakers,Chicago Bulls
Sun Dec 19 2021,6:00p,Miami Heat,Detroit Pistons
Sun Dec 19 2021,6:00p,Portland Trail Blazers,Memphis Grizzlies
Sun Dec 19 2021,6:00p,San Antonio Spurs,Sacramento Kings
Sun Dec 19 2021,7:30p,Cleveland Cavaliers,Atlanta Hawks
Sun Dec 19 2021,7:30p,Denver Nuggets,Brooklyn Nets
Sun Dec 19 2021,8:00p,Dallas Mavericks,Minnesota Timberwolves
Sun Dec 19 2021,8:00p,New Orleans Pelicans,Philadelphia 76ers
Sun Dec 19 2021,8:00p,Charlotte Hornets,Phoenix Suns
Mon Dec 20 2021,7:30p,Philadelphia 76ers,Boston Celtics
Mon Dec 20 2021,7:30p,Orlando Magic,Toronto Raptors
Mon Dec 20 2021,8:00p,Houston Rockets,Chicago Bulls
Mon Dec 20 2021,8:00p,Oklahoma City Thunder,Memphis Grizzlies
Mon Dec 20 2021,9:00p,Charlotte Hornets,Utah Jazz
Mon Dec 20 2021,10:00p,Sacramento Kings,Golden State Warriors
Mon Dec 20 2021,10:30p,San Antonio Spurs,Los Angeles Clippers
Tue Dec 21 2021,7:30p,Washington Wizards,Brooklyn Nets
Tue Dec 21 2021,7:30p,Indiana Pacers,Miami Heat
Tue Dec 21 2021,7:30p,Detroit Pistons,New York Knicks
Tue Dec 21 2021,8:00p,Portland Trail Blazers,New Orleans Pelicans
Tue Dec 21 2021,8:30p,Minnesota Timberwolves,Dallas Mavericks
Tue Dec 21 2021,10:00p,Phoenix Suns,Los Angeles Lakers
Wed Dec 22 2021,7:30p,Orlando Magic,Atlanta Hawks
Wed Dec 22 2021,7:30p,Cleveland Cavaliers,Boston Celtics
Wed Dec 22 2021,8:00p,Toronto Raptors,Chicago Bulls
Wed Dec 22 2021,8:00p,Houston Rockets,Milwaukee Bucks
Wed Dec 22 2021,8:00p,Denver Nuggets,Oklahoma City Thunder
Wed Dec 22 2021,10:00p,Los Angeles Clippers,Sacramento Kings
Thu Dec 23 2021,7:00p,Houston Rockets,Indiana Pacers
Thu Dec 23 2021,7:00p,New Orleans Pelicans,Orlando Magic
Thu Dec 23 2021,7:00p,Atlanta Hawks,Philadelphia 76ers
Thu Dec 23 2021,7:30p,Detroit Pistons,Miami Heat
Thu Dec 23 2021,7:30p,Washington Wizards,New York Knicks
Thu Dec 23 2021,8:30p,Milwaukee Bucks,Dallas Mavericks
Thu Dec 23 2021,9:00p,Charlotte Hornets,Denver Nuggets
Thu Dec 23 2021,9:00p,Oklahoma City Thunder,Phoenix Suns
Thu Dec 23 2021,9:00p,Minnesota Timberwolves,Utah Jazz
Thu Dec 23 2021,10:00p,Memphis Grizzlies,Golden State Warriors
Thu Dec 23 2021,10:00p,Brooklyn Nets,Portland Trail Blazers
Thu Dec 23 2021,10:30p,San Antonio Spurs,Los Angeles Lakers
Sat Dec 25 2021,12:00p,Atlanta Hawks,New York Knicks
Sat Dec 25 2021,2:30p,Boston Celtics,Milwaukee Bucks
Sat Dec 25 2021,5:00p,Golden State Warriors,Phoenix Suns
Sat Dec 25 2021,8:00p,Brooklyn Nets,Los Angeles Lakers
Sat Dec 25 2021,10:30p,Dallas Mavericks,Utah Jazz
Sun Dec 26 2021,3:30p,Orlando Magic,Miami Heat
Sun Dec 26 2021,6:00p,Toronto Raptors,Cleveland Cavaliers
Sun Dec 26 2021,6:00p,Memphis Grizzlies,Sacramento Kings
Sun Dec 26 2021,6:00p,Philadelphia 76ers,Washington Wizards
Sun Dec 26 2021,7:00p,New Orleans Pelicans,Oklahoma City Thunder
Sun Dec 26 2021,7:00p,Detroit Pistons,San Antonio Spurs
Sun Dec 26 2021,8:00p,Indiana Pacers,Chicago Bulls
Sun Dec 26 2021,9:00p,Denver Nuggets,Los Angeles Clippers
Mon Dec 27 2021,7:00p,Houston Rockets,Charlotte Hornets
Mon Dec 27 2021,7:30p,Chicago Bulls,Atlanta Hawks
Mon Dec 27 2021,8:00p,Boston Celtics,Minnesota Timberwolves
Mon Dec 27 2021,8:30p,Utah Jazz,San Antonio Spurs
Mon Dec 27 2021,9:00p,Memphis Grizzlies,Phoenix Suns
Mon Dec 27 2021,10:00p,Dallas Mavericks,Portland Trail Blazers
Mon Dec 27 2021,10:30p,Brooklyn Nets,Los Angeles Clippers
Tue Dec 28 2021,7:00p,Milwaukee Bucks,Orlando Magic
Tue Dec 28 2021,7:30p,Washington Wizards,Miami Heat
Tue Dec 28 2021,7:30p,Philadelphia 76ers,Toronto Raptors
Tue Dec 28 2021,8:00p,Los Angeles Lakers,Houston Rockets
Tue Dec 28 2021,8:00p,New York Knicks,Minnesota Timberwolves
Tue Dec 28 2021,8:00p,Cleveland Cavaliers,New Orleans Pelicans
Tue Dec 28 2021,10:00p,Denver Nuggets,Golden State Warriors
Tue Dec 28 2021,10:00p,Oklahoma City Thunder,Sacramento Kings
Wed Dec 29 2021,7:00p,New York Knicks,Detroit Pistons
Wed Dec 29 2021,7:00p,Charlotte Hornets,Indiana Pacers
Wed Dec 29 2021,7:30p,Los Angeles Clippers,Boston Celtics
Wed Dec 29 2021,8:00p,Atlanta Hawks,Chicago Bulls
Wed Dec 29 2021,8:00p,Los Angeles Lakers,Memphis Grizzlies
Wed Dec 29 2021,8:30p,Miami Heat,San Antonio Spurs
Wed Dec 29 2021,9:00p,Oklahoma City Thunder,Phoenix Suns
Wed Dec 29 2021,10:00p,Utah Jazz,Portland Trail Blazers
Wed Dec 29 2021,10:30p,Dallas Mavericks,Sacramento Kings
Thu Dec 30 2021,7:00p,Philadelphia 76ers,Brooklyn Nets
Thu Dec 30 2021,7:00p,Milwaukee Bucks,Orlando Magic
Thu Dec 30 2021,7:00p,Cleveland Cavaliers,Washington Wizards
Thu Dec 30 2021,9:30p,Golden State Warriors,Denver Nuggets
Fri Dec 31 2021,1:00p,Phoenix Suns,Boston Celtics
Fri Dec 31 2021,3:00p,Chicago Bulls,Indiana Pacers
Fri Dec 31 2021,6:00p,Dallas Mavericks,Sacramento Kings
Fri Dec 31 2021,7:00p,Miami Heat,Houston Rockets
Fri Dec 31 2021,7:30p,Atlanta Hawks,Cleveland Cavaliers
Fri Dec 31 2021,7:30p,Los Angeles Clippers,Toronto Raptors
Fri Dec 31 2021,8:00p,San Antonio Spurs,Memphis Grizzlies
Fri Dec 31 2021,8:00p,New York Knicks,Oklahoma City Thunder
Fri Dec 31 2021,9:00p,Minnesota Timberwolves,Utah Jazz
Fri Dec 31 2021,10:30p,Portland Trail Blazers,Los Angeles Lakers
Sat Jan 1 2022,6:30p,New Orleans Pelicans,Milwaukee Bucks
Sat Jan 1 2022,7:00p,San Antonio Spurs,Detroit Pistons
Sat Jan 1 2022,7:00p,Chicago Bulls,Washington Wizards
Sat Jan 1 2022,7:30p,Los Angeles Clippers,Brooklyn Nets
Sat Jan 1 2022,8:00p,Denver Nuggets,Houston Rockets
Sat Jan 1 2022,9:00p,Golden State Warriors,Utah Jazz
Sun Jan 2 2022,3:30p,New York Knicks,Toronto Raptors
Sun Jan 2 2022,6:00p,Orlando Magic,Boston Celtics
Sun Jan 2 2022,6:00p,Indiana Pacers,Cleveland Cavaliers
Sun Jan 2 2022,6:00p,Miami Heat,Sacramento Kings
Sun Jan 2 2022,7:00p,Phoenix Suns,Charlotte Hornets
Sun Jan 2 2022,7:00p,Dallas Mavericks,Oklahoma City Thunder
Sun Jan 2 2022,9:30p,Minnesota Timberwolves,Los Angeles Lakers
Mon Jan 3 2022,7:00p,Houston Rockets,Philadelphia 76ers
Mon Jan 3 2022,7:00p,Charlotte Hornets,Washington Wizards
Mon Jan 3 2022,7:30p,Memphis Grizzlies,Brooklyn Nets
Mon Jan 3 2022,8:00p,Orlando Magic,Chicago Bulls
Mon Jan 3 2022,8:00p,Detroit Pistons,Milwaukee Bucks
Mon Jan 3 2022,8:00p,Utah Jazz,New Orleans Pelicans
Mon Jan 3 2022,8:30p,Denver Nuggets,Dallas Mavericks
Mon Jan 3 2022,10:00p,Miami Heat,Golden State Warriors
Mon Jan 3 2022,10:00p,Atlanta Hawks,Portland Trail Blazers
Mon Jan 3 2022,10:30p,Minnesota Timberwolves,Los Angeles Clippers
Tue Jan 4 2022,7:00p,Memphis Grizzlies,Cleveland Cavaliers
Tue Jan 4 2022,7:00p,San Antonio Spurs,Toronto Raptors
Tue Jan 4 2022,7:30p,Indiana Pacers,New York Knicks
Tue Jan 4 2022,8:00p,Phoenix Suns,New Orleans Pelicans
Tue Jan 4 2022,10:30p,Sacramento Kings,Los Angeles Lakers
Wed Jan 5 2022,7:00p,Detroit Pistons,Charlotte Hornets
Wed Jan 5 2022,7:00p,Philadelphia 76ers,Orlando Magic
Wed Jan 5 2022,7:00p,Houston Rockets,Washington Wizards
Wed Jan 5 2022,7:30p,San Antonio Spurs,Boston Celtics
Wed Jan 5 2022,7:30p,Golden State Warriors,Dallas Mavericks
Wed Jan 5 2022,7:30p,Brooklyn Nets,Indiana Pacers
Wed Jan 5 2022,8:00p,Toronto Raptors,Milwaukee Bucks
Wed Jan 5 2022,8:00p,Oklahoma City Thunder,Minnesota Timberwolves
Wed Jan 5 2022,10:00p,Utah Jazz,Denver Nuggets
Wed Jan 5 2022,10:00p,Miami Heat,Portland Trail Blazers
Wed Jan 5 2022,10:00p,Atlanta Hawks,Sacramento Kings
Thu Jan 6 2022,7:30p,Boston Celtics,New York Knicks
Thu Jan 6 2022,8:00p,Detroit Pistons,Memphis Grizzlies
Thu Jan 6 2022,8:00p,Golden State Warriors,New Orleans Pelicans
Thu Jan 6 2022,10:00p,Los Angeles Clippers,Phoenix Suns
Fri Jan 7 2022,7:00p,San Antonio Spurs,Philadelphia 76ers
Fri Jan 7 2022,7:30p,Milwaukee Bucks,Brooklyn Nets
Fri Jan 7 2022,7:30p,Utah Jazz,Toronto Raptors
Fri Jan 7 2022,8:00p,Washington Wizards,Chicago Bulls
Fri Jan 7 2022,8:00p,Dallas Mavericks,Houston Rockets
Fri Jan 7 2022,8:00p,Minnesota Timberwolves,Oklahoma City Thunder
Fri Jan 7 2022,9:00p,Sacramento Kings,Denver Nuggets
Fri Jan 7 2022,10:00p,Atlanta Hawks,Los Angeles Lakers
Fri Jan 7 2022,10:00p,Cleveland Cavaliers,Portland Trail Blazers
Sat Jan 8 2022,3:30p,Memphis Grizzlies,Los Angeles Clippers
Sat Jan 8 2022,7:00p,Milwaukee Bucks,Charlotte Hornets
Sat Jan 8 2022,7:00p,Orlando Magic,Detroit Pistons
Sat Jan 8 2022,7:00p,Utah Jazz,Indiana Pacers
Sat Jan 8 2022,7:30p,New York Knicks,Boston Celtics
Sat Jan 8 2022,9:00p,Miami Heat,Phoenix Suns
Sun Jan 9 2022,3:30p,Atlanta Hawks,Los Angeles Clippers
Sun Jan 9 2022,6:00p,Washington Wizards,Orlando Magic
Sun Jan 9 2022,6:00p,New Orleans Pelicans,Toronto Raptors
Sun Jan 9 2022,7:00p,Minnesota Timberwolves,Houston Rockets
Sun Jan 9 2022,7:00p,Denver Nuggets,Oklahoma City Thunder
Sun Jan 9 2022,7:30p,San Antonio Spurs,Brooklyn Nets
Sun Jan 9 2022,7:30p,Chicago Bulls,Dallas Mavericks
Sun Jan 9 2022,8:30p,Cleveland Cavaliers,Golden State Warriors
Sun Jan 9 2022,9:00p,Sacramento Kings,Portland Trail Blazers
Sun Jan 9 2022,9:30p,Memphis Grizzlies,Los Angeles Lakers
Mon Jan 10 2022,7:00p,Milwaukee Bucks,Charlotte Hornets
Mon Jan 10 2022,7:00p,Utah Jazz,Detroit Pistons
Mon Jan 10 2022,7:30p,Indiana Pacers,Boston Celtics
Mon Jan 10 2022,7:30p,San Antonio Spurs,New York Knicks
Mon Jan 10 2022,10:00p,Cleveland Cavaliers,Sacramento Kings
Tue Jan 11 2022,7:00p,Oklahoma City Thunder,Washington Wizards
Tue Jan 11 2022,7:30p,Phoenix Suns,Toronto Raptors
Tue Jan 11 2022,8:00p,Golden State Warriors,Memphis Grizzlies
Tue Jan 11 2022,8:00p,Minnesota Timberwolves,New Orleans Pelicans
Tue Jan 11 2022,10:30p,Denver Nuggets,Los Angeles Clippers
Wed Jan 12 2022,7:00p,Phoenix Suns,Detroit Pistons
Wed Jan 12 2022,7:00p,Boston Celtics,Indiana Pacers
Wed Jan 12 2022,7:00p,Charlotte Hornets,Philadelphia 76ers
Wed Jan 12 2022,7:00p,Orlando Magic,Washington Wizards
Wed Jan 12 2022,7:30p,Miami Heat,Atlanta Hawks
